condition,replication,wvss,rejection_count,total_attempts,rejection_rate_percent,efficiency
none,0,0.2210261449832118,0,200,0.0,0.2210261449832118
none,1,0.212931223465597,0,200,0.0,0.212931223465597
none,2,0.21399693583379575,0,200,0.0,0.21399693583379575
none,3,0.2103316483704452,0,200,0.0,0.2103316483704452
none,4,0.20096145314387187,0,200,0.0,0.20096145314387187
none,5,0.21096055307099448,0,200,0.0,0.21096055307099448
none,6,0.2080247996584574,0,200,0.0,0.2080247996584574
none,7,0.22945735171886716,0,200,0.0,0.22945735171886716
none,8,0.22024166226797237,0,200,0.0,0.22024166226797237
none,9,0.22266820463674614,0,200,0.0,0.22266820463674614
global,0,0.38082942725918395,100000,100101,99.89910190707386,0.0037743589393879895
global,1,0.2533960983898462,100104,100287,99.81752370696103,0.00251341323484967
global,2,0.2359529228481026,100023,100147,99.8761820124417,0.0023390350243331077
global,3,0.2365415679749781,100026,100157,99.86920534760426,0.0023450325315822087
global,4,0.22815399178099072,100009,100114,99.89511956369739,0.002261298591721792
global,5,0.2850390166365203,138,338,40.828402366863905,0.006814484907564285
global,6,0.23530437082554911,100046,100190,99.85627308114582,0.0023330662896519144
global,7,0.23819026420019265,120,320,37.5,0.006186760109095913
global,8,0.2778920841354329,198,398,49.74874371859296,0.00547584164203893
global,9,0.2589954643714036,100259,100428,99.83172023738399,0.002568591151293077
simple_reactive,0,0.20633294571453561,3,203,1.477832512315271,0.08327154668002133
simple_reactive,1,0.2051075418948,10,210,4.761904761904762,0.03559717669248595
simple_reactive,2,0.22242282032845587,5,205,2.4390243902439024,0.06467613924444461
simple_reactive,3,0.22923964380813186,6,206,2.912621359223301,0.05858978489388978
simple_reactive,4,0.2115446254332702,3,203,1.477832512315271,0.08537486871362596
simple_reactive,5,0.22118462006516607,5,205,2.4390243902439024,0.06431609519625396
simple_reactive,6,0.22224426391683483,2,202,0.9900990099009901,0.11167497838607124
simple_reactive,7,0.20683520672472727,4,204,1.9607843137254901,0.06985824862888139
simple_reactive,8,0.19409481992048916,2,202,0.9900990099009901,0.09753023289537018
simple_reactive,9,0.2260927166678858,2,202,0.9900990099009901,0.1136087780271466
chained_reactive,0,0.2140465419230443,3,203,1.477832512315271,0.08638458848981707
chained_reactive,1,0.20834272027034687,2,202,0.9900990099009901,0.10468962560848276
chained_reactive,2,0.23266389745504631,1,201,0.4975124378109453,0.15536692155635984
chained_reactive,3,0.22433480152096485,5,205,2.4390243902439024,0.06523210540680538
chained_reactive,4,0.20597254841451806,1,201,0.4975124378109453,0.1375431303366051
chained_reactive,5,0.2279129592125773,3,203,1.477832512315271,0.09198077677962861
chained_reactive,6,0.23807649559281005,1,201,0.4975124378109453,0.15898131433274026
chained_reactive,7,0.21200547221900198,4,204,1.9607843137254901,0.07160449723953047
chained_reactive,8,0.2258042885328138,2,202,0.9900990099009901,0.11346384647668754
chained_reactive,9,0.21158129667142972,0,200,0.0,0.21158129667142972
