Condition,Realization,Tonal_Stability,Voice_Separation_Score
Control,1,0.002095962894148151,2.848455488521747
Control,2,0.002259807856887952,3.257061465368192
Control,3,0.004252692701378069,3.0226778276925397
Control,4,0.00228113237615879,3.325567267404382
Control,5,0.0039501252838473055,5.229654349613139
Control,6,0.004331214574734732,4.165393603004622
Control,7,0.0026960712181303137,3.3339028190502886
Control,8,0.0022778340129286923,3.1460726160937362
Control,9,0.0036635984155941603,4.586042640091882
Control,10,0.0033353018610829954,5.057289551449322
Control,11,0.0015781363473216237,3.271513524151565
Control,12,0.0032276415550039905,2.578078589664305
Control,13,0.0031682410573979913,2.793705692065295
Control,14,0.0017596010370990456,4.124160744502602
Control,15,0.0014442048167609967,4.081662144187392
Control,16,0.0026118586873074,4.891642170848195
Control,17,0.003791431558231806,4.238562602623926
Control,18,0.00260646855223734,3.069611041739881
Control,19,0.00274444055281331,3.043504955239334
Control,20,0.0017651456084241124,3.085329386517484
Control,21,0.0032652569479113547,3.2661082200896874
Control,22,0.0023514028228516226,3.225229635097463
Control,23,0.0026790307245164735,3.2958283229231973
Control,24,0.0021566732607317673,4.580226847130063
Control,25,0.0028233524492413675,3.701673146986881
Control,26,0.0024467324692913905,3.9038933490585723
Control,27,0.0024896571735222306,3.225982906817618
Control,28,0.003853383612100636,2.936568440613021
Control,29,0.0015487312789850272,4.521827611029189
Control,30,0.003252288348750021,3.593949318206828
Pitch-Constraint,1,0.016954356080432276,2.9556536523511263
Pitch-Constraint,2,0.010978388122151794,4.1752791574314445
Pitch-Constraint,3,0.020571502181065293,3.6011578712306616
Pitch-Constraint,4,0.014665226178697477,3.7072938901769614
Pitch-Constraint,5,0.016770129426611935,2.933656323691649
Pitch-Constraint,6,0.02021982413976864,3.753832606393511
Pitch-Constraint,7,0.02091851750764606,4.699549194665056
Pitch-Constraint,8,0.018338118909028256,4.057566651528129
Pitch-Constraint,9,0.017451439913893196,3.7955852554701273
Pitch-Constraint,10,0.015118325284168455,4.1076046855883215
Pitch-Constraint,11,0.021636432581346066,5.066246695721353
Pitch-Constraint,12,0.01766140187302756,5.250423520915454
Pitch-Constraint,13,0.01194670078788529,4.271213318133161
Pitch-Constraint,14,0.019480064151650045,4.285136209903445
Pitch-Constraint,15,0.0158387157682377,4.5004422082579465
Pitch-Constraint,16,0.016992550437744613,3.1173990602000874
Pitch-Constraint,17,0.018454343537492313,3.705673753345252
Pitch-Constraint,18,0.011612520415030914,3.8655153917321265
Pitch-Constraint,19,0.020995039234021795,4.328518370868587
Pitch-Constraint,20,0.022460372776670123,3.088881390971498
Pitch-Constraint,21,0.026326541929944103,4.987515146527748
Pitch-Constraint,22,0.015379308006803538,5.460855391219713
Pitch-Constraint,23,0.018946609935960756,4.903232820728884
Pitch-Constraint,24,0.018403394697091957,4.2984941150787925
Pitch-Constraint,25,0.019087875647642805,3.454323163636394
Pitch-Constraint,26,0.016071709516581767,4.174392750520749
Pitch-Constraint,27,0.019699379870904976,2.8286405139862913
Pitch-Constraint,28,0.024072765749597047,4.571604946403975
Pitch-Constraint,29,0.018749769522748094,3.866730624237075
Pitch-Constraint,30,0.015797343904873196,4.50601261254601
Multi-Constraint,1,0.01418477079823921,70.90194094479229
Multi-Constraint,2,0.02036448946099534,72.00415904881798
Multi-Constraint,3,0.020894367455960627,70.78499159530033
Multi-Constraint,4,0.015326988762328186,71.67713047248526
Multi-Constraint,5,0.017781275602881785,70.2440885922466
Multi-Constraint,6,0.014727377151470433,71.35453561331325
Multi-Constraint,7,0.01761350171356857,70.77357182269655
Multi-Constraint,8,0.021177899225160446,69.9461983279162
Multi-Constraint,9,0.013594080060150948,71.24106891171104
Multi-Constraint,10,0.020566596707908835,71.73281013265036
Multi-Constraint,11,0.01707908690621862,71.58876066154917
Multi-Constraint,12,0.021959330345009853,71.18715094411017
Multi-Constraint,13,0.0223756065695343,71.47172332319867
Multi-Constraint,14,0.02260218924984514,71.56905386665895
Multi-Constraint,15,0.01456690897880919,70.85432761894383
Multi-Constraint,16,0.0195110457115093,71.23788769839092
Multi-Constraint,17,0.016520455270308765,71.56671016734131
Multi-Constraint,18,0.01595483430886535,71.60306889672601
Multi-Constraint,19,0.015278468751137142,70.65840337772131
Multi-Constraint,20,0.019850077543177802,71.27587087981937
Multi-Constraint,21,0.015381771668068644,71.18446407548346
Multi-Constraint,22,0.023266156778386615,70.51595711686373
Multi-Constraint,23,0.019075080966562963,71.5021915247876
Multi-Constraint,24,0.01960720934424176,70.65232926432208
Multi-Constraint,25,0.01765500199076575,71.03851213976999
Multi-Constraint,26,0.01748866558314044,71.05188488809988
Multi-Constraint,27,0.018430750056454448,70.21589720860538
Multi-Constraint,28,0.014570163440884243,70.36813938179799
Multi-Constraint,29,0.01689535137140774,71.29529869898938
Multi-Constraint,30,0.013067216133360371,70.91993567229903
