density,actual_density,n_events,melodic_coherence,rhythmic_coherence,harmonic_coherence,harmonic_coherence_v3
10,10.166666666666666,305,5.688460219729198,0.5326630153102756,0.38345026620888695,0.8015760053316654
20,20.0,600,5.8543959687047185,0.4956015023735179,0.672675026123302,0.8955233432626231
30,30.666666666666668,920,6.005062625964863,0.5108079197709641,0.8288923719958204,0.9151123381201264
40,40.93333333333333,1228,5.973601060552479,0.5031338792664928,0.9480146290491118,0.9552397361389348
50,49.7,1491,6.032305079254611,0.5071921545579575,0.9827586206896551,0.9749999703228338
60,60.3,1809,6.0146303312995855,0.504396132516104,0.9942528735632183,0.9849723790933439
70,69.83333333333333,2095,6.050999030798206,0.49482439201582096,1.0,1.0
80,83.56666666666666,2507,6.043930098815055,0.5026965319669773,1.0,1.0
90,90.43333333333334,2713,6.05062081925411,0.4957046169150597,1.0,1.0
100,99.96666666666667,2999,6.05294487335169,0.5052780637092015,1.0,1.0
110,108.3,3249,6.081921709978345,0.4934696010027386,1.0,1.0
120,122.66666666666667,3680,6.064394714211193,0.5015401655528448,1.0,1.0
130,127.93333333333334,3838,6.0979723877776095,0.5014630545411748,1.0,1.0
140,138.43333333333334,4153,6.082914787914833,0.5075183807016986,1.0,1.0
150,149.9,4497,6.071697154561933,0.4995969001783938,1.0,1.0
160,156.96666666666667,4709,6.098285712905847,0.49866422761617907,1.0,1.0
170,172.5,5175,6.138918602512248,0.4989160230200473,1.0,1.0
180,179.33333333333334,5380,6.091087840929527,0.502241328222708,1.0,1.0
190,188.26666666666668,5648,6.073524663014291,0.49922551603307563,1.0,1.0
200,201.1,6033,6.07024958195416,0.5009925862622475,1.0,1.0
