density,tonal_stability,harmonic_change_rate,harmonic_change_rate_v2,consonance,old_metric
10.0,0.27505377986066604,0.3677190625466489,0.20078019908528388,0.5461805555555556,0.0
20.0,0.12241045230081626,0.7156217345872519,0.4225291657495047,0.6104237867395762,0.0
30.0,0.08456574412037843,0.8589341692789969,0.5467984934086629,0.5861125973485524,0.0
40.0,0.06826556744411905,0.9166666666666666,0.6619671289162815,0.5575887342074392,0.3333333333333333
50.0,0.04507429238650107,0.9827586206896551,0.8255521314843348,0.5821651038822755,0.8333333333333334
60.0,0.04307542089405292,0.9885057471264368,0.8246019517205958,0.5890362247744798,0.8333333333333334
70.0,0.0340630308137676,0.9942528735632183,0.9007447354904982,0.5943136944809185,0.9166666666666666
80.0,0.029386512413271837,1.0,0.9108885464817669,0.57703144069955,1.0
90.0,0.02285846761026944,1.0,0.9519774011299434,0.5833429230441615,1.0
100.0,0.02244455920970234,1.0,0.9774011299435028,0.5793060882085702,1.0
110.0,0.022316827974579345,1.0,0.9858757062146892,0.5796419866217539,1.0
120.0,0.020396483244424668,1.0,0.9745762711864406,0.5811948864364238,1.0
130.0,0.018107513278828424,1.0,0.9915254237288136,0.5797235030618193,1.0
140.0,0.015183550198550888,1.0,0.9971751412429378,0.5854488418956876,1.0
150.0,0.017936995234076547,1.0,0.9943502824858758,0.5828597444755109,1.0
160.0,0.015457204895455878,1.0,0.9943502824858758,0.5827979729932063,1.0
170.0,0.012053998707021618,1.0,0.9971751412429378,0.5835400735968357,1.0
180.0,0.012915356488438001,1.0,1.0,0.5808400414293801,1.0
190.0,0.012438164633719162,1.0,0.9971751412429378,0.5831194307930967,1.0
200.0,0.010931306400752905,1.0,1.0,0.5828311149875244,1.0
