window_start,window_end,stability,section_id,symbol,n_pitches
0.0,1.0,0.12401840658953478,0,A,22
1.0,2.0,0.17016217028672287,0,A,18
2.0,3.0,0.05600582458019532,0,A,20
3.0,4.0,0.1726671282189035,0,A,20
4.0,5.0,0.07951718030409538,0,A,22
5.0,6.0,0.19003289560958148,0,A,20
6.0,7.0,0.10495717349417832,0,A,20
7.0,8.0,0.15161007387003334,0,A,20
8.0,9.0,0.23390011914530817,0,A,20
9.0,10.0,0.03864005718951735,0,A,20
10.0,11.0,0.2362898100940357,1,B,22
11.0,12.0,0.2961656720738549,1,B,20
12.0,13.0,0.3172227264227251,1,B,20
13.0,14.0,0.31897584126071143,1,B,20
14.0,15.0,0.2389842445235647,1,B,20
15.0,16.0,0.2737157793049205,1,B,20
16.0,17.0,0.26318725213048544,1,B,20
17.0,18.0,0.27638911394209864,1,B,18
18.0,19.0,0.25126588653598614,1,B,20
19.0,20.0,0.31074576262440445,1,B,20
20.0,21.0,0.1675830028406472,2,A,20
21.0,22.0,0.16213860104446842,2,A,20
22.0,23.0,0.08390011914530826,2,A,20
23.0,24.0,0.1117944137104212,2,A,20
24.0,25.0,0.19003289560958148,2,A,20
25.0,26.0,0.1328514680592915,2,A,20
26.0,27.0,0.16213860104446853,2,A,20
27.0,28.0,0.08759140610350058,2,A,20
28.0,29.0,0.2577428503343068,2,A,20
29.0,30.0,0.24442864631974326,2,A,20
30.0,31.0,0.16074576262440432,3,A,20
31.0,32.0,0.16213860104446853,3,A,20
32.0,33.0,0.09442864631974335,3,A,20
33.0,34.0,0.13968870827553426,3,A,20
34.0,35.0,0.1342443064793556,3,A,20
35.0,36.0,0.1342443064793556,3,A,20
36.0,37.0,0.07706287892906538,3,A,20
37.0,38.0,0.10495717349417844,3,A,20
38.0,39.0,0.10495717349417844,3,A,20
39.0,40.0,0.07706287892906549,3,A,20
40.0,41.0,0.30705447566621225,4,B,20
41.0,42.0,0.25495717349417835,4,B,20
42.0,43.0,0.2389842445235646,4,B,20
43.0,44.0,0.36306639252999595,4,B,20
44.0,45.0,0.3021936780215134,4,B,20
45.0,46.0,0.29535643780527054,4,B,20
46.0,47.0,0.35253786535556075,4,B,20
47.0,48.0,0.346509859407902,4,B,20
48.0,49.0,0.25635001191424256,4,B,20
49.0,50.0,0.24442864631974337,4,B,20
50.0,51.0,0.1570544756662121,5,A,20
51.0,52.0,0.10495717349417844,5,A,20
52.0,53.0,0.07337159197087317,5,A,20
53.0,54.0,0.08759140610350058,5,A,20
54.0,55.0,0.15021723544996923,5,A,20
55.0,56.0,0.2270628789290654,5,A,20
56.0,57.0,0.11179441371042131,5,A,20
57.0,58.0,0.05600582458019532,5,A,20
58.0,59.0,0.09442864631974324,5,A,20
59.0,60.0,0.11179441371042131,5,A,20
60.0,61.0,0.3474537399773042,6,B,20
61.0,62.0,0.28968870827553417,6,B,20
62.0,63.0,0.25635001191424256,6,B,20
63.0,64.0,0.31074576262440445,6,B,20
64.0,65.0,0.24582148473980747,6,B,20
65.0,66.0,0.2953118808982147,6,B,22
66.0,67.0,0.2828514680592914,6,B,20
67.0,68.0,0.24442864631974348,6,B,20
68.0,69.0,0.24442864631974337,6,B,20
69.0,70.0,0.25635001191424245,6,B,20
70.0,71.0,0.11571323499465191,7,A,22
71.0,72.0,0.13285146805929127,7,A,20
72.0,73.0,0.0665343517546303,7,A,20
73.0,74.0,0.09442864631974335,7,A,20
74.0,75.0,0.1795043684351465,7,A,20
75.0,76.0,0.08390011914530826,7,A,20
76.0,77.0,0.1726671282189035,7,A,20
77.0,78.0,0.13968870827553415,7,A,20
78.0,79.0,0.13424430647935548,7,A,20
79.0,80.0,0.15161007387003334,7,A,20
