,max_deviation,max_deviation,max_deviation,dev_lin_pow,dev_lin_log,dev_pow_log
,mean,max,count,mean,mean,mean
velocity_bin,,,,,,
"(0, 100]",12.4798,13.1253,16,1.4185,11.0614,12.4798
"(100, 200]",14.1712,14.5377,4,2.7162,11.455,14.1712
"(200, 300]",14.7434,14.7682,7,3.8434,10.9,14.7434
"(300, 400]",14.4765,14.717,6,4.5528,9.9237,14.4765
"(400, 500]",13.6088,14.008,5,4.9411,8.6677,13.6088
"(500, 600]",12.1499,13.0236,7,4.9237,7.2262,12.1499
"(600, 700]",10.2368,11.1534,6,4.5196,5.7171,10.2368
"(700, 800]",7.9659,9.3597,7,3.7554,4.2105,7.9659
"(800, 900]",5.2937,6.4845,6,2.6385,2.6551,5.2937
"(900, 1000]",1.6868,3.5187,16,0.8875,0.7993,1.6868
