Condition,Pitch_Distance,Velocity_Distance,Temporal_Distance,VSS,wVSS
Control,3.431314148278659,0.9279162122101968,0.0343353500812526,4.393565710570108,0.9164446009213004
Control,2.39513039179335,1.079471017179582,0.0403146386895836,3.5149160476625156,1.0598477643293553
Control,2.076628352490421,0.9003831417624519,0.0618159620417431,3.0388274562946163,0.8849988310674402
Control,2.1847186249117025,0.967728854354708,0.0492309650999283,3.2016784443663386,0.9505970986810772
Control,1.7754146041334566,0.8738289006348408,0.061651747445661,2.7108952522139584,0.8579929921071417
Control,1.3534791743912988,0.8217772834013102,0.051210655705765,2.2264671134983742,0.805478120373054
Pitch-Constraint,2.380765924935537,2.48145217403168,0.0724387471259798,4.934656846093197,2.4235544935015083
Pitch-Constraint,1.785564739790092,1.1553646201533527,0.0734982271784639,3.0144275871219084,1.1320228309920533
Pitch-Constraint,2.6613791613791618,2.34958284958285,0.0608430524675225,5.071805063429534,2.296180206284348
Pitch-Constraint,2.070459861643359,2.3958592544667296,0.0368418030066819,4.5031609191167705,2.338270101272643
Pitch-Constraint,1.2552941757888756,1.5815191875262544,0.0586348261224779,2.8954481894376083,1.5438846086657516
Pitch-Constraint,2.266743819560721,1.7920319117502213,0.0718220312864307,4.130597762597373,1.7528411217206703
Multi-Constraint,2.4063559322033896,22.178954802259888,0.0847453394098916,24.67005607387317,21.573726657054287
Multi-Constraint,1.349661016949153,41.22728813559322,0.1214862934998458,42.698435446042225,40.089102456388474
Multi-Constraint,3.1995210022107585,61.26989683124538,0.0864927371110539,64.55591057056719,59.58083866125211
Multi-Constraint,1.8316666666666657,19.04833333333333,0.0980606280821983,20.978060628082194,18.528212739982916
Multi-Constraint,3.354710144927536,39.0909420289855,0.0997658521991253,42.545418026112166,38.0195380339041
Multi-Constraint,2.970434782608696,20.04260869565217,0.0675893978132247,23.08063287607409,19.49859718267465
