density,mc_exponential,mc_uniform,mc_gaussian,mc_constant,mc_exponential_std,mc_uniform_std,mc_gaussian_std,mc_constant_std
10.0,0.33128171595267597,0.3397386651622344,0.34727981905019584,0.3190208248963426,0.009861864769577145,0.02167889639411183,0.025896210644602492,0.012864624760821878
15.0,0.26177088614757166,0.27451315935712206,0.266514819131062,0.28117993141352865,0.018723562197363323,0.017475010019256783,0.036377003285207286,0.014513273947547482
20.0,0.21402037547957722,0.2159860494374958,0.2325710432468612,0.1969258825020082,0.01376131229786532,0.024146917499415357,0.030710730141612234,0.02624004419283043
25.0,0.1687018485653292,0.18104972377399936,0.16756227248747005,0.17578092870300083,0.014030522870421254,0.0176883194019672,0.01888607301161482,0.020860109231332004
28.0,0.14110681128507918,0.13469051724349068,0.1406330443323957,0.15623976313916585,0.015800262800806104,0.019318562175399286,0.013110482435252624,0.011736551289114636
30.0,0.15707774729334106,0.12346871621723088,0.1311847229530128,0.12606381924591545,0.016455437559402996,0.023115915105454493,0.015285097115262448,0.028895627390467905
40.0,0.10932913642189082,0.09979075298423987,0.10542775210672525,0.09001753915661444,0.02178890641785348,0.01670788021370786,0.017780470539374836,0.016287449677749987
50.0,0.08262688552335087,0.05887114901230504,0.07709759506913298,0.06267753938310458,0.014539962421544497,0.02282432480246661,0.016840812756131376,0.00711279816734516
60.0,0.08354948938545563,0.0783550518628742,0.07426181235089772,0.0714652202557627,0.03248942340069748,0.024345627946123702,0.01717772767056876,0.026255701680661065
80.0,0.1044141080857978,0.11586799872351206,0.09850710131270757,0.0864908339068291,0.03161208027897749,0.02118622073765135,0.029804516087150283,0.016731219141694443
100.0,0.14655844699863227,0.13692963240885783,0.13146368412807266,0.1468352917694848,0.02304532401178666,0.021430992799142644,0.016132432252616208,0.037485018778992366
120.0,0.19402960595662921,0.18694469241414413,0.18285334184718174,0.16194064013222767,0.019765805235948827,0.05693039709823289,0.03469844651543787,0.030011911131397173
150.0,0.21436130497008987,0.20626785578413812,0.2232940498292911,0.22146844002535984,0.03844155927856466,0.03371830235756544,0.05351266701879566,0.03922365324108045
200.0,0.28431201024962227,0.31051079140796267,0.31116144927178324,0.3575711216438598,0.025032264578723096,0.029539802570912592,0.06313276964213153,0.028391689602187554
