density,amanous_mc,amanous_mc_std,amanous_ts,amanous_ts_std,random_mc,random_mc_std,random_ts,random_ts_std
10.0,0.18923243299353618,0.007879589624253955,0.09151147110319591,0.005021261641964848,0.531650338815561,0.03865865259702146,0.023314471345632064,0.0034383222638731683
15.0,0.2119069218217753,0.04887311014941179,0.10167493438756751,0.02256908856360423,0.5163987908582752,0.0756179867448455,0.019149817895922554,0.0017005404107902898
20.0,0.19027737994458035,0.021328853501560188,0.09612548418115689,0.0023375588680837446,0.5424460108783971,0.05186407171342162,0.01593026015705464,0.008979639608365812
25.0,0.20495571980542285,0.0314273844743183,0.08172970466249933,0.036434434126047105,0.5043507083573046,0.009445263389955438,0.0224979489344439,0.004930128276091574
28.0,0.19500682655560383,0.035766708769726055,0.10767405163858797,0.014269527703975597,0.5499564458444133,0.032799815591907686,0.02798953629340754,0.013019661144472327
30.0,0.17476964773407952,0.014103335052721447,0.08194857007997021,0.015925692452016426,0.6031187926018392,0.05938950628547714,0.02688997316863273,0.0060666293171363055
40.0,0.2075542991096426,0.03000437959963772,0.08546367873432777,0.012036271921557089,0.564313916335827,0.0443939702118932,0.018628238083259047,0.01192451001887269
50.0,0.19326742963221832,0.04046766207548294,0.11120205563822379,0.038621039496944926,0.5240938338766399,0.026361939201350094,0.03270228942365675,0.012362357688746049
60.0,0.1510453332386009,0.02764979641342371,0.06811836946973708,0.015492963151870725,0.5147554662517929,0.04536480632349274,0.023470025157158864,0.005628835166853904
80.0,0.18824789856207202,0.0038218277559933147,0.11154649348943065,0.015582624810097666,0.5720441332116907,0.04696019839215276,0.023639128439503998,0.0038300773606347147
100.0,0.17835708696416364,0.02198919326335914,0.12634626492521606,0.027210352559476476,0.5489342067414341,0.04023700865661147,0.03586355562159734,0.006747652641725025
120.0,0.23376570147880274,0.02530178450915928,0.11807769807363595,0.0058487051686709,0.5603286074883193,0.040492257666604706,0.02296665083176297,0.007591529658638378
150.0,0.1722213793678131,0.018762121303874977,0.10862063095985201,0.011909598811460526,0.5130562550731879,0.039070817583065104,0.016412810881398714,0.01030532794261297
200.0,0.19122666983866354,0.0325569351768704,0.09053271103200673,0.028552397424453542,0.5119438888788609,0.020676555973721988,0.023849457993071737,0.0071998513298829545
