density,amanous_melodic_coherence,amanous_harmonic_coherence_v3,random_single_voice_coherence,random_tonal_stability
10.0,5.688460219729198,0.8015760053316654,0.5369180142301805,0.023189977349204693
15.0,,,0.5577958309711601,0.020450879814594147
20.0,5.8543959687047185,0.8955233432626231,0.5500499867612085,0.02673626706105603
25.0,,,0.5594880253121616,0.026604029980127786
28.0,,,0.5792234017214671,0.022913435654451142
30.0,6.005062625964863,0.9151123381201264,0.5889310474544133,0.02953300756871539
40.0,5.973601060552479,0.9552397361389348,0.5715546247225812,0.01696528916312053
50.0,6.032305079254611,0.9749999703228338,0.5436798674971087,0.01963474293127443
60.0,6.0146303312995855,0.9849723790933439,0.5700346493754574,0.01726117405570819
70.0,6.050999030798206,1.0,,
80.0,6.043930098815055,1.0,0.5600195176686021,0.026163908780929297
90.0,6.05062081925411,1.0,,
100.0,6.05294487335169,1.0,0.5015647996061496,0.02002177343775687
110.0,6.081921709978345,1.0,,
120.0,6.064394714211193,1.0,0.5236476291156426,0.033291437782003386
130.0,6.0979723877776095,1.0,,
140.0,6.082914787914833,1.0,,
150.0,6.071697154561933,1.0,0.5218425570802127,0.032922008845229854
160.0,6.098285712905847,1.0,,
170.0,6.138918602512248,1.0,,
180.0,6.091087840929527,1.0,,
190.0,6.073524663014291,1.0,,
200.0,6.07024958195416,1.0,0.5366244057741912,0.019005101854341972
